,Steps,Energy @ 1.5,Energy @ 1.7,Energy @ 1.9,Energy @ 2.0999999999999996,Energy @ 2.3,Energy @ 2.5,Energy @ 2.6999999999999997,Energy @ 2.8999999999999995,Energy @ 3.0999999999999996,Energy @ 3.3
0,1.0,-68.0,-532.0,-1132.0,-1508.0,-1796.0,-1920.0,-1984.0,-2024.0,-2032.0,-2040.0
1,1001.4992496248124,-720.0,-1104.0,-1476.0,-1556.0,-1680.0,-1776.0,-1660.0,-1576.0,-1608.0,-1560.0
2,2001.9984992496247,-1016.0,-1408.0,-1652.0,-1668.0,-1680.0,-1628.0,-1588.0,-1384.0,-1356.0,-1328.0
3,3002.497748874437,-1208.0,-1512.0,-1692.0,-1752.0,-1604.0,-1580.0,-1408.0,-1300.0,-1100.0,-1156.0
4,4002.9969984992495,-1232.0,-1552.0,-1756.0,-1776.0,-1592.0,-1500.0,-1324.0,-1152.0,-1080.0,-1048.0
5,5003.496248124062,-1300.0,-1600.0,-1828.0,-1748.0,-1660.0,-1456.0,-1324.0,-1136.0,-964.0,-924.0
6,6003.995497748874,-1340.0,-1636.0,-1784.0,-1796.0,-1636.0,-1424.0,-1184.0,-1120.0,-896.0,-912.0
7,7004.494747373687,-1340.0,-1740.0,-1864.0,-1740.0,-1588.0,-1476.0,-1100.0,-984.0,-832.0,-860.0
8,8004.993996998499,-1372.0,-1780.0,-1884.0,-1720.0,-1580.0,-1440.0,-1060.0,-992.0,-780.0,-980.0
9,9005.493246623311,-1404.0,-1824.0,-1820.0,-1648.0,-1576.0,-1440.0,-996.0,-916.0,-872.0,-812.0
10,10005.992496248124,-1420.0,-1864.0,-1932.0,-1656.0,-1504.0,-1420.0,-1040.0,-948.0,-840.0,-700.0
11,11006.491745872936,-1440.0,-1908.0,-1908.0,-1712.0,-1516.0,-1428.0,-988.0,-912.0,-848.0,-708.0
12,12006.990995497748,-1472.0,-1940.0,-1868.0,-1744.0,-1468.0,-1428.0,-984.0,-912.0,-816.0,-656.0
13,13007.49024512256,-1516.0,-1980.0,-1840.0,-1752.0,-1544.0,-1384.0,-1092.0,-856.0,-728.0,-692.0
14,14007.989494747373,-1468.0,-1992.0,-1824.0,-1772.0,-1540.0,-1372.0,-1064.0,-856.0,-820.0,-696.0
15,15008.488744372185,-1500.0,-1892.0,-1816.0,-1684.0,-1488.0,-1444.0,-1040.0,-880.0,-764.0,-688.0
16,16008.987993996998,-1488.0,-1884.0,-1828.0,-1604.0,-1496.0,-1364.0,-1076.0,-916.0,-832.0,-696.0
17,17009.48724362181,-1496.0,-1904.0,-1860.0,-1704.0,-1492.0,-1328.0,-1088.0,-932.0,-736.0,-624.0
18,18009.986493246623,-1484.0,-1904.0,-1812.0,-1680.0,-1500.0,-1368.0,-1108.0,-932.0,-764.0,-708.0
19,19010.485742871435,-1496.0,-1944.0,-1856.0,-1732.0,-1432.0,-1364.0,-1176.0,-904.0,-784.0,-764.0
20,20010.984992496247,-1508.0,-1996.0,-1860.0,-1748.0,-1444.0,-1352.0,-1144.0,-968.0,-824.0,-780.0
21,21011.48424212106,-1536.0,-1952.0,-1872.0,-1688.0,-1384.0,-1320.0,-1132.0,-948.0,-704.0,-804.0
22,22011.983491745872,-1552.0,-1988.0,-1904.0,-1676.0,-1412.0,-1356.0,-1128.0,-904.0,-756.0,-816.0
23,23012.482741370684,-1536.0,-1968.0,-1916.0,-1748.0,-1448.0,-1220.0,-1136.0,-916.0,-736.0,-784.0
24,24012.981990995497,-1580.0,-1944.0,-1892.0,-1708.0,-1484.0,-1240.0,-1224.0,-860.0,-752.0,-736.0
25,25013.48124062031,-1572.0,-1960.0,-1860.0,-1704.0,-1424.0,-1308.0,-1124.0,-876.0,-780.0,-812.0
26,26013.98049024512,-1560.0,-1976.0,-1924.0,-1804.0,-1500.0,-1304.0,-1212.0,-824.0,-788.0,-796.0
27,27014.479739869934,-1592.0,-1956.0,-1940.0,-1792.0,-1428.0,-1260.0,-1044.0,-764.0,-840.0,-708.0
28,28014.978989494746,-1608.0,-1940.0,-1952.0,-1768.0,-1372.0,-1144.0,-1000.0,-768.0,-704.0,-796.0
29,29015.47823911956,-1584.0,-1928.0,-1920.0,-1776.0,-1284.0,-1236.0,-1048.0,-892.0,-668.0,-792.0
30,30015.97748874437,-1580.0,-1952.0,-1884.0,-1752.0,-1308.0,-1188.0,-992.0,-804.0,-776.0,-800.0
31,31016.476738369183,-1576.0,-1940.0,-1860.0,-1700.0,-1368.0,-1296.0,-1016.0,-840.0,-732.0,-828.0
32,32016.975987993996,-1624.0,-1972.0,-1816.0,-1684.0,-1328.0,-1300.0,-1064.0,-836.0,-820.0,-784.0
33,33017.47523761881,-1616.0,-1972.0,-1796.0,-1688.0,-1412.0,-1360.0,-1044.0,-880.0,-808.0,-768.0
34,34017.97448724362,-1604.0,-1968.0,-1860.0,-1616.0,-1344.0,-1336.0,-948.0,-848.0,-752.0,-836.0
35,35018.47373686843,-1596.0,-1940.0,-1904.0,-1620.0,-1344.0,-1264.0,-988.0,-864.0,-768.0,-780.0
36,36018.972986493245,-1632.0,-1908.0,-1828.0,-1608.0,-1380.0,-1288.0,-916.0,-872.0,-880.0,-756.0
37,37019.47223611806,-1612.0,-1944.0,-1804.0,-1628.0,-1356.0,-1200.0,-924.0,-772.0,-936.0,-700.0
38,38019.97148574287,-1660.0,-1912.0,-1784.0,-1600.0,-1380.0,-1180.0,-872.0,-880.0,-760.0,-748.0
39,39020.47073536768,-1676.0,-1984.0,-1784.0,-1640.0,-1400.0,-1176.0,-1052.0,-800.0,-768.0,-788.0
40,40020.969984992495,-1636.0,-1984.0,-1756.0,-1660.0,-1392.0,-1196.0,-928.0,-892.0,-792.0,-740.0
41,41021.46923461731,-1660.0,-1948.0,-1816.0,-1628.0,-1428.0,-1196.0,-964.0,-936.0,-732.0,-676.0
42,42021.96848424212,-1656.0,-1972.0,-1904.0,-1728.0,-1408.0,-1152.0,-988.0,-948.0,-740.0,-628.0
43,43022.46773386693,-1684.0,-1916.0,-1908.0,-1684.0,-1440.0,-1152.0,-980.0,-944.0,-860.0,-736.0
44,44022.966983491744,-1708.0,-1944.0,-1892.0,-1656.0,-1464.0,-1164.0,-988.0,-860.0,-768.0,-656.0
45,45023.46623311656,-1692.0,-1948.0,-1856.0,-1680.0,-1468.0,-1224.0,-1004.0,-820.0,-864.0,-704.0
46,46023.96548274137,-1716.0,-1964.0,-1864.0,-1756.0,-1508.0,-1180.0,-844.0,-852.0,-784.0,-760.0
47,47024.46473236618,-1692.0,-1944.0,-1932.0,-1720.0,-1468.0,-1168.0,-856.0,-876.0,-764.0,-700.0
48,48024.96398199099,-1660.0,-1928.0,-1900.0,-1748.0,-1424.0,-1128.0,-880.0,-868.0,-784.0,-768.0
49,49025.46323161581,-1696.0,-1872.0,-1900.0,-1700.0,-1468.0,-1208.0,-932.0,-916.0,-764.0,-784.0
50,50025.96248124062,-1724.0,-1892.0,-1912.0,-1696.0,-1460.0,-1228.0,-884.0,-860.0,-764.0,-788.0
51,51026.46173086543,-1696.0,-1952.0,-1880.0,-1660.0,-1508.0,-1128.0,-892.0,-936.0,-748.0,-788.0
